Tweet Text,Lemmatized Tweet Text,Subjectivity,Polarity
woman stole mobility scooter left disabled man die freezing weather jailed,woman stole mobility scooter leave disabled man die freeze weather jail,0.15,-0.15000000000000002
chief placed formal investigation banned leaving country prosecutor says,chief place formal investigation ban leave country prosecutor say,0.0,0.0
least nine killed launches operation occupied troops surround hospital,least nine kill launch operation occupy troop surround hospital,0.4,-0.3
men charged counts murder one attempted murder house fire killed mother children,men charge count murder one attempted murder house fire kill mother child,0.0,0.0
says rescued hostage held complex operation southern,say rescue hostage hold complex operation southern,0.2,-0.15
says made advances incursion controls settlements,say make advance incursion control settlement,0.0,0.0
arrested stabbing woman believed caught fight groups men notting hill carnival,arrest stab woman believe caught fight group men notting hill carnival,0.0,-0.05
oasis reunite world tour kicking band broke,oasis reunite world tour kick band break,0.0,0.0
former football manager died aged,former football manager die age,0.0,0.0
least three people killed injured wave strikes hit key energy targets,least three people kill injured wave strike hit key energy target,0.7,-0.15
major incident declared search rescue continues fire block flats,major incident declare search rescue continue fire block flat,0.3125,0.01875
astronauts whose mission got stuck space return spacex ship says,astronaut whose mission get stuck space return spacex ship say,0.0,0.0
police say person arrested connection solingen knife attack aged rule terrorist motive,police say person arrest connection solingen knife attack age rule terrorist motive,0.0,-0.05
police say person detained possible connection deadly knife attack city solingen,police say person detain possible connection deadly knife attack city solingen,0.7,-0.1
investigation sicily yacht deaths considering multiple options including manslaughter officials say,investigation sicily yacht death consider multiple option include manslaughter official say,0.0,0.0
number people reported killed knife attack western city solingen local media say,number people report killed knife attack western city solingen local medium say,0.0,-0.06666666666666667
sacked presenter says sorry ashamed sent inappropriate messages colleagues,sack presenter say sorry ashamed sent inappropriate message colleague,1.0,-0.5
suspends independent presidential bid support,suspends independent presidential bid support,0.125,0.0
family release first picture daughter body found sicily yacht wreckage,family release first picture daughter body find sicily yacht wreckage,0.3333333333333333,0.25
divers find body last person missing yacht sank sicily believed media report,diver find body last person miss yacht sink sicily believe medium report,0.06666666666666667,0.0
man 32 charged murder death parcel delivery driver carol kondor leeds england,man 32 charge murder death parcel delivery driver carol kondor leeds england,0.0,0.0
typical household energy bill rise new price cap set regulator,typical household energy bill rise new price cap set regulator,0.4772727272727273,-0.015151515151515152
make pitch “ ” accepts nomination president,make pitch “ ” accept nomination president,0.0,0.0
placed house arrest prosecutors probe new human trafficking sexual exploitation allegations,place house arrest prosecutor probe new human traffic sexual exploitation allegation,0.346969696969697,0.14659090909090908
show presenter sacked workplace conduct sources say,show presenter sack workplace conduct source say,0.0,0.0
tech tycoon body recovered sicily wreck daughter believed still missing source close family tells,tech tycoon body recover sicily wreck daughter believe still miss source close family tell,0.0,0.0
police hunting bulldog type dogs man found dead suspected attack house,police hunt bulldog type dog man find dead suspected attack house,0.4,-0.2
drug slow progression early stage alzheimer 's approved regulator available,drug slow progression early stage alzheimer 's approved regulator available,0.3666666666666667,0.06666666666666667
gcse pass rate across falls running grades marked,gcse pas rate across fall run grade mark,0.0,0.0
students getting results,student get result,0.0,0.0
take convention stage reports could appear,take convention stage report could appear,0.0,0.0
vice presidential nominee nancy pelosi speak party convention,vice presidential nominee nancy pelosi speak party convention,0.0,0.0
man dies attacked bully dog home,man die attack bully dog home,0.0,0.0
victims died house fire named police children denisty nine oscar,victim die house fire name police child denisty nine oscar,0.05,-0.07500000000000001
divers found bodies inside wreck luxury yacht sank sicily reports say,diver find body inside wreck luxury yacht sink sicily report say,0.0,0.0
authorities arrested man suspicion cyber terrorism relation disinformation thought fuelled unrest,authority arrest man suspicion cyber terrorism relation disinformation think fuel unrest,0.0,-0.05
article originally reported police told charged cyber terrorism . police since confirmed arrest charged updated article make clear .,article originally report police tell charge cyber terrorism . police since confirm arrest charge updated article make clear .,0.37777777777777777,0.14166666666666666
people including children die house fire man arrested suspicion murder,people include child die house fire man arrest suspicion murder,0.0,-0.05
presenter says diagnosed cancer expects make full recovery,presenter say diagnosed cancer expect make full recovery,0.55,0.35
killed bus carrying pilgrims overturns state media reports,kill bus carry pilgrim overturn state medium report,0.0,0.0
give headline speeches night,give headline speech night,0.0,0.0
files divorce marriage,file divorce marriage,0.0,0.0
body man recovered near yacht believed chef,body man recover near yacht believe chef,0.4,0.1
divers searching missing sunken yacht sicily struggle reach cabins world objects blocking way,diver search miss sink yacht sicily struggle reach cabin world object block way,0.0,0.0
king arrives meet survivors deadly knife attack,king arrives meet survivor deadly knife attack,0.4,-0.2
bodies hostages held retrieved area 's military says,body hostage hold retrieved area 's military say,0.1,-0.1
tearful takes stage convention passes torch,tearful take stage convention pass torch,0.0,0.0
says 'forever grateful ' gives farewell speech party convention,say 'forever grateful ' give farewell speech party convention,0.0,0.0
tech tycoon ’ daughter yacht ’ chef also among missing boat sank coast,tech tycoon ’ daughter yacht ’ chef also among miss boat sink coast,0.0,0.0
tech entrepreneur among missing luxury yacht sank coast,tech entrepreneur among miss luxury yacht sink coast,0.0,0.0
disaster rescued survivors yacht sinking says saw red flare life raft people inside,disaster rescue survivor yacht sink say saw red flare life raft people inside,0.0,0.0
missing sailboat mostly passengers sinks coast,miss sailboat mostly passengers sink coast,0.5,0.5
emergency move ease prison overcrowding activated rioters set jailed,emergency move ease prison overcrowd activated rioter set jailed,0.0,0.0
struggling fashion chain close remaining stores putting jobs risk,struggle fashion chain close remain store put job risk,0.0,0.0
“ everything live ” mum girl dairy allergy died drink speaks inquest finds “ failures ”,“ everything live ” mum girl dairy allergy die drink speaks inquest find “ failure ”,0.4,-0.09015151515151515
man admitted assaulting emergency worker unrest sentenced,man admit assault emergency worker unrest sentence,0.0,0.0
paetongtarn shinawatra 37 becomes 's youngest ever prime minister vote parliament,paetongtarn shinawatra 37 becomes 's young ever prime minister vote parliament,0.4,0.1
charged actor death police say broad criminal network drug suppliers uncovered,charge actor death police say broad criminal network drug supplier uncover,0.43125,-0.16875
confirms case contagious variant mpox disease outside,confirms case contagious variant mpox disease outside,0.05,0.0
arrests made drug related death star media report,arrest make drug relate death star medium report,0.0,-0.05
agree vice presidential debate,agree vice presidential debate,0.0,0.0
man charged attempted murder police officer stabbed high security england,man charge attempted murder police officer stab high security england,0.54,0.16
boy first charged serious offence rioting recent unrest updates,boy first charge serious offence riot recent unrest update,0.4166666666666667,-0.027777777777777773
people killed result military action since attack run says,people kill result military action since attack run say,0.1,0.0
woman jailed treason $ donation charity supporting,woman jail treason $ donation charity support,0.0,-0.1
top level results across time since grades marked *,top level result across time since grade mark *,0.5,0.5
economy grew according latest figures,economy grow accord late figure,0.6,-0.3
president resigns protests engulfed campus,president resigns protest engulf campus,0.0,0.0
give update astronauts stuck,give update astronaut stick,0.0,0.0
scientists shocked research shows heart stonehenge actually came far north previously thought,scientist shock research show heart stonehenge actually come far north previously think,0.4222222222222223,-0.022222222222222216
man kicked female police officer ground recent disorder jailed updates,man kick female police officer ground recent disorder jail update,0.13888888888888887,-0.03333333333333333
pushed since president claims cross border attack continues,push since president claim cross border attack continue,0.0,0.0
inflation rate rises,inflation rate rise,0.0,0.0
girl pleads guilty using threatening unlawful violence people appear court recent unrest,girl pleads guilty use threaten unlawful violence people appear court recent unrest,0.625,-0.25
priest posed risk children given figure pay church england investigation finds,priest pose risk child give figure pay church england investigation find,0.0,0.0
man charged attempted murder girl stabbed 's police say,man charge attempted murder girl stab 's police say,0.0,0.0
's hottest day year far 34.8c reached says,'s hot day year far 34.8c reach say,0.925,0.175
time olympic diving medallist confirms retirement,time olympic dive medallist confirms retirement,0.0,0.0
man arrested girl woman stabbed 's taken major trauma centre,man arrest girl woman stab 's take major trauma centre,0.25,0.006249999999999999
boy pleads guilty violent disorder youngest person yet appear court recent unrest,boy pleads guilty violent disorder young person yet appear court recent unrest,0.6625,-0.3
vows kick enemy week launched cross border attack,vow kick enemy week launch cross border attack,0.0,0.0
doctor warned years attacks could end killing someone medical records seen show,doctor warn year attack could end kill someone medical record see show,0.0,0.0
set star studded finale snoop dogg red hot chili peppers . watch closing ceremony live,set star stud finale snoop dogg red hot chili pepper . watch closing ceremony live,0.45,0.12878787878787878
team last medal paris2024 finish one total .,team last medal paris2024 finish one total .,0.4083333333333333,0.0
president confirms troops fighting inside evacuated border region ⁠,president confirm troop fight inside evacuate border region ⁠,0.0,0.0
parents bebe king killed stabbing remember joy light love say older daughter saw attack,parent bebe king kill stab remember joy light love say old daughter saw attack,0.425,0.45000000000000007
king praises community spirit says hopes unity aggression criminality recent disorder,king praise community spirit say hope unity aggression criminality recent disorder,0.25,0.0
